user_id,age,gender,food_choice,berth_choice,opted_berth,opted_ss_concession,bedroll_choice
550014,25,M,,SL,0,0,0
553187,38,M,,WS,0,0,0
554636,26,M,,SL,0,0,0
560092,31,M,N,LB,0,1,0
560899,26,M,,SU,0,0,0
561073,34,M,,LB,0,0,0
561227,24,F,,NC,0,1,0
561467,36,M,,NC,0,0,0
562959,45,M,,LB,0,1,0
563383,32,M,,NC,0,0,0
563516,33,F,,LB,0,0,0
566792,42,M,,SL,0,0,0
567618,22,M,,SL,0,0,0
569868,30,M,V,WS,0,0,0
570112,25,M,,SL,0,1,0
570684,28,M,,WS,0,0,0
571569,28,M,,WS,0,1,-1
578109,20,M,,LB,0,0,0
580120,33,M,,LB,0,0,0
580388,71,M,,NC,0,1,0
581073,29,M,,WS,0,1,0
582265,65,M,N,LB,0,1,0
583326,63,M,,SL,0,1,0
584592,28,M,,NC,0,1,-1
584670,46,M,,WS,0,0,0
584964,39,M,N,WS,0,0,0
586452,41,M,,LB,0,0,0
589982,44,M,,WS,0,0,0
590309,31,M,,NC,0,0,0
590649,41,M,,LB,0,0,0
593305,32,M,N,LB,0,0,0
594817,38,M,,LB,0,0,0
596147,33,M,,NC,0,0,0
596471,35,M,,LB,0,0,0
600085,34,M,,UB,0,0,0
600428,39,M,,WS,0,0,0
601397,54,M,,WS,0,0,0
601898,33,M,,SL,0,0,0
602655,30,M,,LB,0,0,0
603759,30,M,,WS,0,0,0
603908,45,M,,LB,0,0,0
605952,23,M,,MB,0,0,0
609749,26,M,,SL,0,0,0
611165,23,M,,NC,0,0,0
612447,28,M,,CP,0,0,0
620835,29,F,,LB,0,0,0
621899,30,M,,UB,0,0,0
622088,32,M,,SU,0,0,0
622543,57,M,,UB,0,1,0
622945,38,M,,LB,0,0,0
623020,60,M,,LB,0,1,0
628849,24,M,,WS,0,0,0
630791,23,M,,NC,0,0,0
632646,32,M,,LB,0,0,0
635417,28,M,,LB,0,0,0
637123,62,M,V,WS,0,1,0
637919,29,M,,UB,0,1,0
640662,30,M,,SL,0,1,0
640701,30,M,V,LB,0,0,0
641959,24,M,,UB,0,0,0
647955,48,M,,WS,0,1,0
647974,35,M,,SL,0,0,0
648044,32,F,,LB,0,0,0
648472,59,F,,NC,0,1,0
648634,29,M,,LB,0,0,0
648732,55,M,V,NC,0,0,0
649988,26,M,,NC,0,0,0
650294,43,M,N,WS,0,1,0
650432,30,F,,WS,0,0,0
655339,10,F,,SL,1,0,0
656232,10,F,,NC,1,0,0
656284,55,M,,LB,0,1,-1
657834,62,M,,NC,0,1,0
658259,34,F,,LB,0,0,0
659503,28,M,,LB,0,0,0
660424,38,M,,LB,0,1,0
660524,34,F,,LB,0,0,0
663849,41,M,,NC,0,0,0
664102,29,M,,WS,0,0,0
670921,65,M,,LB,0,1,0
675164,29,M,,UB,0,1,0
675617,64,M,,LB,0,1,0
676549,33,F,,SL,0,1,0
681658,34,M,,SL,0,0,0
684374,30,M,,NC,0,0,0
686355,25,M,,WS,0,0,0
689078,45,M,,LB,0,0,0
690699,31,M,,SL,0,0,0
690914,35,M,,WS,0,0,0
691524,41,M,,MB,0,1,0
692617,36,M,,LB,0,0,0
693019,35,M,,LB,0,1,0
693760,26,M,,SL,0,1,0
693998,60,F,,LB,0,0,0
694167,28,M,,NC,0,0,0
694261,19,M,,NC,0,0,0
696868,41,M,,NC,0,0,0
705580,27,M,,NC,0,0,0
706377,33,M,,LB,0,0,0
706771,29,M,,LB,0,0,0
707279,22,M,,LB,0,1,-1
707576,30,M,,SL,0,1,0
707769,21,M,,UB,0,0,0
708895,24,F,,NC,0,0,0
709283,23,M,,WS,0,0,0
710891,32,M,,NC,0,0,1
715168,28,M,V,WS,0,0,0
715301,43,M,,WS,0,0,0
715824,41,M,,LB,0,0,0
715848,24,M,,LB,0,0,0
716494,23,M,,WS,0,0,0
716937,48,M,,LB,0,0,0
717414,34,M,,SU,0,0,0
718292,37,M,V,WS,0,0,0
718564,27,F,,SL,0,0,0
722358,42,M,V,LB,0,1,0
726111,23,M,,SL,0,0,0
726212,34,M,,NC,0,1,0
730528,34,M,,LB,0,0,0
730813,35,M,,SL,0,0,0
734728,49,F,,LB,0,0,0
738976,38,M,,SL,0,0,0
739576,24,M,V,WS,0,0,0
739716,47,M,,LB,0,0,0
741111,38,M,,LB,0,0,0
742078,42,M,,NC,0,1,0
746068,27,F,,LB,0,0,0
746155,29,M,,UB,0,0,0
750853,57,M,V,NC,0,1,0
750952,32,M,,LB,0,0,0
753140,30,M,N,WS,0,0,0
753637,23,M,,LB,0,0,0
754261,38,M,,NC,0,0,0
755704,26,M,,SL,0,0,0
757583,31,M,V,WS,0,0,0
758276,29,M,,SL,0,0,0
758532,2,F,,,0,1,0
761004,22,M,,NC,0,1,0
762071,39,M,V,LB,0,1,1
766816,25,M,,LB,0,0,0
769745,34,M,V,LB,0,0,0
770180,62,M,V,LB,0,1,0
770356,25,F,,WS,0,0,0
770637,32,M,,SL,0,0,0
772060,33,M,,NC,0,0,0
772419,21,M,,NC,0,1,0
776610,36,M,,LB,0,0,0
776882,20,M,,NC,0,0,0
777611,20,M,,NC,0,0,0
782779,55,M,V,LB,0,0,0
786141,49,M,,LB,0,1,0
786791,30,M,V,SL,0,1,0
787264,38,M,,UB,0,1,0
790032,46,M,,SL,0,1,1
791938,29,M,,SL,0,0,0
793239,32,M,,SL,0,0,0
796160,16,M,,LB,0,0,0
797911,26,M,,LB,0,1,0
799276,23,M,V,SL,0,0,0
799923,43,M,,WS,0,0,0
800621,40,M,,LB,0,0,0
803650,49,M,V,LB,0,1,-1
803834,41,M,,LB,0,0,0
805612,26,M,,SL,0,1,0
805757,29,M,,SL,0,0,0
808053,46,M,,LB,0,0,0
812218,22,F,,LB,0,0,0
814226,63,M,,LB,0,1,0
816426,33,M,V,WS,0,0,0
818063,34,M,,MB,0,0,0
818411,47,M,,NC,0,0,0
818418,47,M,,WS,0,0,0
820756,39,M,,SL,0,0,0
828568,28,M,,LB,0,0,0
833114,37,M,,NC,0,0,0
834119,28,M,,LB,0,0,0
834581,59,F,,LB,0,1,0
834806,24,M,,UB,0,1,0
835589,27,M,,WS,0,0,0
836561,30,M,,SU,0,0,0
837033,33,M,,NC,0,0,0
844580,31,M,,LB,0,0,0
847717,33,M,,WS,0,1,0
850513,23,M,,LB,0,0,0
854980,7,F,,LB,0,0,0
859756,21,M,,SL,0,0,0
